name,developer,publisher,popular_tags,game_details,genre,ID,genre_publisher_developer,genre_popular_tags_developer,genre_popular_tags_game_details,genre_publisher_developer_game_details
DayZ,BohemiaInteractive,"BohemiaInteractive,BohemiaInteractive","Survival,Zombies,OpenWorld,Multiplayer,PvP,MassivelyMultiplayer,Action,EarlyAccess,Simulation,FPS,Post-apocalyptic,SurvivalHorror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,Military","Multi-player,OnlineMulti-Player,SteamWorkshop,SteamCloud,ValveAnti-Cheatenabled","Action,Adventure,MassivelyMultiplayer",dayz,"Action,Adventure,MassivelyMultiplayerBohemiaInteractive,BohemiaInteractiveBohemiaInteractive","Action,Adventure,MassivelyMultiplayerSurvival,Zombies,OpenWorld,Multiplayer,PvP,MassivelyMultiplayer,Action,EarlyAccess,Simulation,FPS,Post-apocalyptic,SurvivalHorror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,MilitaryBohemiaInteractive","Action,Adventure,MassivelyMultiplayerSurvival,Zombies,OpenWorld,Multiplayer,PvP,MassivelyMultiplayer,Action,EarlyAccess,Simulation,FPS,Post-apocalyptic,SurvivalHorror,Shooter,Sandbox,Adventure,Indie,Co-op,Atmospheric,Horror,MilitaryMulti-player,OnlineMulti-Player,SteamWorkshop,SteamCloud,ValveAnti-Cheatenabled","Action,Adventure,MassivelyMultiplayerBohemiaInteractive,BohemiaInteractiveBohemiaInteractiveMulti-player,OnlineMulti-Player,SteamWorkshop,SteamCloud,ValveAnti-Cheatenabled"
EVE Online,CCP,"CCP,CCP","Space,MassivelyMultiplayer,Sci-fi,Sandbox,MMORPG,OpenWorld,RPG,PvP,Multiplayer,FreetoPlay,Economy,Strategy,SpaceSim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,Atmospheric","Multi-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,SteamTradingCards","Action,FreetoPlay,MassivelyMultiplayer,RPG,Strategy",eveonline,"Action,FreetoPlay,MassivelyMultiplayer,RPG,StrategyCCP,CCPCCP","Action,FreetoPlay,MassivelyMultiplayer,RPG,StrategySpace,MassivelyMultiplayer,Sci-fi,Sandbox,MMORPG,OpenWorld,RPG,PvP,Multiplayer,FreetoPlay,Economy,Strategy,SpaceSim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,AtmosphericCCP","Action,FreetoPlay,MassivelyMultiplayer,RPG,StrategySpace,MassivelyMultiplayer,Sci-fi,Sandbox,MMORPG,OpenWorld,RPG,PvP,Multiplayer,FreetoPlay,Economy,Strategy,SpaceSim,Simulation,Action,Difficult,Tactical,Capitalism,PvE,AtmosphericMulti-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,SteamTradingCards","Action,FreetoPlay,MassivelyMultiplayer,RPG,StrategyCCP,CCPCCPMulti-player,OnlineMulti-Player,MMO,Co-op,OnlineCo-op,SteamTradingCards"
TERA,"Bluehole,Inc.","EnMasseEntertainment,EnMasseEntertainment","FreetoPlay,MMORPG,MassivelyMultiplayer,RPG,OpenWorld,Action,Fantasy,Adventure,Anime,ThirdPerson,CharacterCustomization,ActionRPG,Multiplayer,Co-op,PvP,HackandSlash,PvE,Cute,Controller,Nudity","Multi-player,MMO,Co-op,SteamTradingCards,PartialControllerSupport","Action,Adventure,FreetoPlay,MassivelyMultiplayer,RPG",tera,"Action,Adventure,FreetoPlay,MassivelyMultiplayer,RPGEnMasseEntertainment,EnMasseEntertainmentBluehole,Inc.","Action,Adventure,FreetoPlay,MassivelyMultiplayer,RPGFreetoPlay,MMORPG,MassivelyMultiplayer,RPG,OpenWorld,Action,Fantasy,Adventure,Anime,ThirdPerson,CharacterCustomization,ActionRPG,Multiplayer,Co-op,PvP,HackandSlash,PvE,Cute,Controller,NudityBluehole,Inc.","Action,Adventure,FreetoPlay,MassivelyMultiplayer,RPGFreetoPlay,MMORPG,MassivelyMultiplayer,RPG,OpenWorld,Action,Fantasy,Adventure,Anime,ThirdPerson,CharacterCustomization,ActionRPG,Multiplayer,Co-op,PvP,HackandSlash,PvE,Cute,Controller,NudityMulti-player,MMO,Co-op,SteamTradingCards,PartialControllerSupport","Action,Adventure,FreetoPlay,MassivelyMultiplayer,RPGEnMasseEntertainment,EnMasseEntertainmentBluehole,Inc.Multi-player,MMO,Co-op,SteamTradingCards,PartialControllerSupport"
Stonehearth,RadiantEntertainment,"(none),(none)","CityBuilder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,EarlyAccess,Indie,Singleplayer,OpenWorld,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,GodGame,RTS","Single-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,SteamTradingCards,SteamWorkshop","Indie,Simulation,Strategy",stonehearth,"Indie,Simulation,Strategy(none),(none)RadiantEntertainment","Indie,Simulation,StrategyCityBuilder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,EarlyAccess,Indie,Singleplayer,OpenWorld,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,GodGame,RTSRadiantEntertainment","Indie,Simulation,StrategyCityBuilder,Building,Sandbox,Strategy,Survival,Simulation,Crafting,Voxel,EarlyAccess,Indie,Singleplayer,OpenWorld,RPG,Management,Multiplayer,Fantasy,Cute,Adventure,GodGame,RTSSingle-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,SteamTradingCards,SteamWorkshop","Indie,Simulation,Strategy(none),(none)RadiantEntertainmentSingle-player,Multi-player,OnlineMulti-Player,LocalMulti-Player,Co-op,OnlineCo-op,LocalCo-op,SteamTradingCards,SteamWorkshop"
Call of Duty®: Black Ops,Treyarch,"Activision,Activision","Action,FPS,Zombies,Multiplayer,Shooter,Singleplayer,ColdWar,First-Person,War,Military,OnlineCo-Op,Co-op,Gore,StoryRich,Adventure,Controller,Linear,Masterpiece,Horror,MassivelyMultiplayer","Single-player,Multi-player,Co-op,SteamAchievements,PartialControllerSupport,ValveAnti-Cheatenabled",Action,callofdutyblackops,"ActionActivision,ActivisionTreyarch","ActionAction,FPS,Zombies,Multiplayer,Shooter,Singleplayer,ColdWar,First-Person,War,Military,OnlineCo-Op,Co-op,Gore,StoryRich,Adventure,Controller,Linear,Masterpiece,Horror,MassivelyMultiplayerTreyarch","ActionAction,FPS,Zombies,Multiplayer,Shooter,Singleplayer,ColdWar,First-Person,War,Military,OnlineCo-Op,Co-op,Gore,StoryRich,Adventure,Controller,Linear,Masterpiece,Horror,MassivelyMultiplayerSingle-player,Multi-player,Co-op,SteamAchievements,PartialControllerSupport,ValveAnti-Cheatenabled","ActionActivision,ActivisionTreyarchSingle-player,Multi-player,Co-op,SteamAchievements,PartialControllerSupport,ValveAnti-Cheatenabled"
Grand Theft Auto IV,"RockstarNorth,RockstarToronto","RockstarGames,RockstarGames","OpenWorld,Action,Bowling,Multiplayer,ThirdPerson,Crime,Adventure,Third-PersonShooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,DarkHumor,Co-op,Gore,Satire","Single-player,Multi-player,PartialControllerSupport","Action,Adventure",grandtheftautoiv,"Action,AdventureRockstarGames,RockstarGamesRockstarNorth,RockstarToronto","Action,AdventureOpenWorld,Action,Bowling,Multiplayer,ThirdPerson,Crime,Adventure,Third-PersonShooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,DarkHumor,Co-op,Gore,SatireRockstarNorth,RockstarToronto","Action,AdventureOpenWorld,Action,Bowling,Multiplayer,ThirdPerson,Crime,Adventure,Third-PersonShooter,Sandbox,Singleplayer,Moddable,Shooter,Physics,Atmospheric,Funny,Classic,DarkHumor,Co-op,Gore,SatireSingle-player,Multi-player,PartialControllerSupport","Action,AdventureRockstarGames,RockstarGamesRockstarNorth,RockstarTorontoSingle-player,Multi-player,PartialControllerSupport"
Portal,Valve,"Valve,Valve","Puzzle,First-Person,Singleplayer,Sci-fi,Comedy,FemaleProtagonist,Funny,Physics,Action,StoryRich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,DarkHumor,GreatSoundtrack","Single-player,SteamAchievements,Captionsavailable,PartialControllerSupport,Includesleveleditor,IncludesSourceSDK,Commentaryavailable",Action,portal,"ActionValve,ValveValve","ActionPuzzle,First-Person,Singleplayer,Sci-fi,Comedy,FemaleProtagonist,Funny,Physics,Action,StoryRich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,DarkHumor,GreatSoundtrackValve","ActionPuzzle,First-Person,Singleplayer,Sci-fi,Comedy,FemaleProtagonist,Funny,Physics,Action,StoryRich,Platformer,Classic,Science,FPS,Atmospheric,Short,Adventure,Masterpiece,DarkHumor,GreatSoundtrackSingle-player,SteamAchievements,Captionsavailable,PartialControllerSupport,Includesleveleditor,IncludesSourceSDK,Commentaryavailable","ActionValve,ValveValveSingle-player,SteamAchievements,Captionsavailable,PartialControllerSupport,Includesleveleditor,IncludesSourceSDK,Commentaryavailable"
Viscera Cleanup Detail,RuneStorm,"RuneStorm,RuneStorm","Simulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,WalkingSimulator,Casual,Blood,Parody,Sandbox,Adventure","Single-player,Multi-player,Co-op,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamWorkshop,SteamCloud,Includesleveleditor","Indie,Simulation",visceracleanupdetail,"Indie,SimulationRuneStorm,RuneStormRuneStorm","Indie,SimulationSimulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,WalkingSimulator,Casual,Blood,Parody,Sandbox,AdventureRuneStorm","Indie,SimulationSimulation,Gore,First-Person,Multiplayer,Co-op,Physics,Funny,Indie,Sci-fi,Masterpiece,Comedy,Space,Horror,Singleplayer,WalkingSimulator,Casual,Blood,Parody,Sandbox,AdventureSingle-player,Multi-player,Co-op,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamWorkshop,SteamCloud,Includesleveleditor","Indie,SimulationRuneStorm,RuneStormRuneStormSingle-player,Multi-player,Co-op,Shared/SplitScreen,SteamAchievements,Fullcontrollersupport,SteamTradingCards,SteamWorkshop,SteamCloud,Includesleveleditor"
Kingdoms of Amalur: Reckoning™,"BigHugeGames,38Studios","38Studios,ElectronicArts,38Studios,ElectronicArts","RPG,Fantasy,OpenWorld,Singleplayer,ActionRPG,Action,Adventure,ThirdPerson,Loot,StoryRich,Magic,CharacterCustomization,HackandSlash,Exploration,Controller,Sandbox,Atmospheric,Crafting,FemaleProtagonist,Masterpiece","Single-player,SteamAchievements,PartialControllerSupport,SteamCloud","Action,RPG",kingdomsofamalurreckoning,"Action,RPG38Studios,ElectronicArts,38Studios,ElectronicArtsBigHugeGames,38Studios","Action,RPGRPG,Fantasy,OpenWorld,Singleplayer,ActionRPG,Action,Adventure,ThirdPerson,Loot,StoryRich,Magic,CharacterCustomization,HackandSlash,Exploration,Controller,Sandbox,Atmospheric,Crafting,FemaleProtagonist,MasterpieceBigHugeGames,38Studios","Action,RPGRPG,Fantasy,OpenWorld,Singleplayer,ActionRPG,Action,Adventure,ThirdPerson,Loot,StoryRich,Magic,CharacterCustomization,HackandSlash,Exploration,Controller,Sandbox,Atmospheric,Crafting,FemaleProtagonist,MasterpieceSingle-player,SteamAchievements,PartialControllerSupport,SteamCloud","Action,RPG38Studios,ElectronicArts,38Studios,ElectronicArtsBigHugeGames,38StudiosSingle-player,SteamAchievements,PartialControllerSupport,SteamCloud"
"Warhammer 40,000: Dawn of War II: Retribution","RelicEntertainment,FeralInteractive(Mac/Linux)","SEGA,FeralInteractive(Mac/Linux),SEGA,FeralInteractive(Mac/Linux)","Warhammer40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,GamesWorkshop,OnlineCo-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,GreatSoundtrack,Fantasy,Atmospheric,Masterpiece,Adventure","Single-player,Multi-player,Co-op,SteamAchievements,SteamCloud,Stats,SteamLeaderboards",Strategy,warhammer40000dawnofwariiretribution,"StrategySEGA,FeralInteractive(Mac/Linux),SEGA,FeralInteractive(Mac/Linux)RelicEntertainment,FeralInteractive(Mac/Linux)","StrategyWarhammer40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,GamesWorkshop,OnlineCo-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,GreatSoundtrack,Fantasy,Atmospheric,Masterpiece,AdventureRelicEntertainment,FeralInteractive(Mac/Linux)","StrategyWarhammer40K,Strategy,RTS,Tactical,Sci-fi,Multiplayer,GamesWorkshop,OnlineCo-Op,Co-op,Real-Time,Singleplayer,Futuristic,Gore,RPG,Action,GreatSoundtrack,Fantasy,Atmospheric,Masterpiece,AdventureSingle-player,Multi-player,Co-op,SteamAchievements,SteamCloud,Stats,SteamLeaderboards","StrategySEGA,FeralInteractive(Mac/Linux),SEGA,FeralInteractive(Mac/Linux)RelicEntertainment,FeralInteractive(Mac/Linux)Single-player,Multi-player,Co-op,SteamAchievements,SteamCloud,Stats,SteamLeaderboards"
